"","Model","Fraction_Recovered"
"1","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.88964957565899
"2","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.0166578898857297
"3","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.810138278131785
"4","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.777977424066505
"5","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.902007074354154
"6","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.781764531526559
"7","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.890028608036884
"8","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.813134367742167
"9","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.00500711568562221
"10","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.819765533145755
"11","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.851932614036587
"12","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.900473788397657
"13","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.0336909352131279
"14","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.00116659835150263
"15","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.852876820789434
"16","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.850113806121965
"17","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.778610763512025
"18","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.858201794214
"19","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.840381488473853
"20","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.885131643745825
"21","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",0.81372705087189
