"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"1",0,0.106157112526539,0,0,0
"2",0.122850122850123,0.106157112526539,0,0,0
"3",0,0.106157112526539,0,0,0
"4",0,0.106157112526539,0,0,0
"5",0,0.106157112526539,0,0,0
"6",0.122850122850123,0.106157112526539,0,0,0
"7",0,0.106157112526539,0,0,0
"8",2.45700245700246,2.12314225053079,2.3961661341853,2.27272727272727,0
"9",0,0,0,0,0
"10",2.21130221130221,1.27388535031847,0.798722044728434,0,0
"11",0,0,0,0,0
"12",0.122850122850123,0.318471337579618,0.798722044728434,0,0
"13",0.491400491400491,0.106157112526539,0,0,0
"14",0.122850122850123,0.106157112526539,0,0,0
"15",0.122850122850123,0.106157112526539,0,0,0
"16",0,0.106157112526539,0,0,0
"17",0,0.106157112526539,0,0,0
"18",0,0.106157112526539,0,0,0
"19",0,0.106157112526539,0,0,0
"20",0,0.106157112526539,0,0,0
"21",0.368550368550369,0.212314225053079,0,0,0
"22",0.491400491400491,0.424628450106157,0,0,0
"23",0,0.212314225053079,0,0,0
"24",0,0,0,0,0
"25",0,0.106157112526539,0.798722044728434,0,0
"26",0,0.106157112526539,0,0,0
"27",0.245700245700246,0.636942675159236,0,0,0
"28",0,0,0,0,0
"29",0,0.106157112526539,0,0,0
"30",0,0.106157112526539,0,0,0
"31",0,0.106157112526539,0,0,0
"32",0,0.106157112526539,0,0,0
"33",0.122850122850123,0.106157112526539,0,0,0
"34",0,0.106157112526539,0,0,0
"35",0,0.106157112526539,0,0,0
"36",2.33415233415233,1.27388535031847,0.798722044728434,0,0
"37",0,0.212314225053079,0,0,0
"38",0,0.106157112526539,0,0,0
"39",0.122850122850123,0.106157112526539,0.798722044728434,0,0
"40",0.245700245700246,0.106157112526539,0,0,0
"41",4.79115479115479,2.4416135881104,2.3961661341853,4.54545454545455,0
"42",0,0.106157112526539,0,0,0
"43",0.245700245700246,0.318471337579618,0,0,0
"44",0.245700245700246,0.212314225053079,0,0,0
"45",0,0.106157112526539,0,0,0
"46",0,0.106157112526539,0,0,0
"47",0,0,0,0,0
"48",0,0.106157112526539,0,0,0
"49",0,0.318471337579618,0,0,0
"50",0,0.106157112526539,0,0,0
"51",0.737100737100737,0.212314225053079,0,2.27272727272727,0
"52",0.122850122850123,0.106157112526539,0,0,0
"53",1.22850122850123,0.849256900212314,1.59744408945687,0,0
"54",0,0.106157112526539,0,0,0
"55",0.245700245700246,0.424628450106157,0,0,1.34048257372654
"56",0,0,0,0,0
"57",0,0.106157112526539,0,0,0
"58",0,0.106157112526539,0,0,0
"59",1.10565110565111,0.636942675159236,0.798722044728434,0,0
"60",0.122850122850123,0.106157112526539,0,0,0
"61",0,0.106157112526539,0,0,0
"62",0,0.106157112526539,0,0,0
"63",1.84275184275184,1.06157112526539,1.59744408945687,0,0
"64",0.122850122850123,0.106157112526539,0,0,0
"65",0,0.106157112526539,0,0,0
"66",0,0.106157112526539,0,0,0
"67",0.368550368550369,0.318471337579618,0,0,0
"68",0.122850122850123,0.106157112526539,0,0,0
"69",0,0.106157112526539,0,0,0
"70",0,0.106157112526539,0,0,0
"71",0,0.106157112526539,0,0,0
"72",0,0.106157112526539,0,0,0
"73",0,0.106157112526539,0,0,0
"74",0.368550368550369,0.318471337579618,0,0,0
"75",0,0.106157112526539,0,0,0
"76",0,0.106157112526539,0,0,0
"77",0,0.106157112526539,0,0,0
"78",0.245700245700246,0.106157112526539,1.59744408945687,0,0
"79",0,0.106157112526539,0,0,0
"80",0.245700245700246,0.106157112526539,0,0,0
"81",0,0.106157112526539,0,0,0
"82",0,0.106157112526539,0.798722044728434,0,0
"83",0,0.212314225053079,0,0,0
"84",0,0.212314225053079,0,0,0
"85",0,0.106157112526539,0,0,0
"86",0,0.106157112526539,0,0,0
"87",0.737100737100737,1.16772823779193,0,0,0
"88",2.33415233415233,1.27388535031847,1.59744408945687,0,0
"89",0.368550368550369,0.849256900212314,0,0,0
"90",5.52825552825553,3.07855626326964,2.3961661341853,2.27272727272727,1.34048257372654
"91",0,0.106157112526539,0,0,0
"92",0,0.106157112526539,0,0,0
"93",0,0.106157112526539,0,0,0
"94",1.96560196560197,0.743099787685775,0.798722044728434,0,0
"95",0,0.106157112526539,0,0,0
"96",0.122850122850123,0.212314225053079,0,0,0
"97",0,0.106157112526539,0,0,0
"98",0.245700245700246,0.106157112526539,0,0,0
"99",0,0.106157112526539,0,0,0
"100",0,0,0,0,0
"101",0,0.106157112526539,0,0,0
"102",0.491400491400491,0.318471337579618,0,0,0
"103",0,0.106157112526539,0,0,0
"104",0,0.106157112526539,0,0,0
"105",0.614250614250614,0.212314225053079,0,0,0
"106",0,0.106157112526539,0,0,0
"107",0,0,0,0,0
"108",0,0.106157112526539,0,0,0
"109",0,0.212314225053079,0,0,0
"110",0,0.106157112526539,0,0,0
"111",0,0.106157112526539,0,0,0
"112",0,0.106157112526539,0,0,0
"113",0.122850122850123,0.212314225053079,0,0,0
"114",0.245700245700246,0.106157112526539,0,0,0
"115",0,0.106157112526539,0,0,0
"116",0,0.106157112526539,0,0,0
"117",0,0.106157112526539,0,0,0
"118",0,0.106157112526539,0,0,0
"119",0,0.106157112526539,0,0,0
"120",0.491400491400491,0.743099787685775,0,0,0
"121",0,0.106157112526539,0,0,0
"122",0,0.106157112526539,0,0,0
"123",0,0.106157112526539,0,0,0
"124",0.245700245700246,0.106157112526539,0,0,0
"125",0,0.106157112526539,0,0,0
"126",0.245700245700246,0,0,0,0
"127",0,0.106157112526539,0,0,0
"128",0.737100737100737,1.27388535031847,1.59744408945687,0,0
"129",0,0,0,0,0
"130",0,0.212314225053079,0.798722044728434,0,0
"131",0,0.106157112526539,0,0,0
"132",0,0,0,0,0
"133",0,0.106157112526539,0,0,0
"134",0.122850122850123,0.106157112526539,0,2.27272727272727,0
"135",0,0.106157112526539,0,0,0
"136",0.245700245700246,0.318471337579618,0,0,0
"137",0.122850122850123,0.106157112526539,0,0,0
"138",0,0.106157112526539,0,0,0
"139",0.122850122850123,0.106157112526539,0,0,0
"140",2.45700245700246,1.27388535031847,0.798722044728434,0,0
"141",0,0.106157112526539,0,0,0
"142",0,0.106157112526539,0,0,0
"143",0,0.106157112526539,0,0,0
"144",2.45700245700246,1.27388535031847,0.798722044728434,0,0
"145",0,0.106157112526539,0,0,0
"146",0.122850122850123,0.212314225053079,0,0,0
"147",0,0,0,0,0
"148",0,0.106157112526539,0,0,0
"149",0,0.106157112526539,0,0,0
"150",0.491400491400491,0.106157112526539,0,0,0
"151",0,0.106157112526539,0,0,0
"152",0,0,0,0,0
"153",0,0.106157112526539,0,0,0
"154",0,0.106157112526539,0,0,0
"155",0,0.106157112526539,0,0,0
"156",0,0.212314225053079,0,0,0
"157",0,0.106157112526539,0,0,0
"158",0,0.106157112526539,0,0,0
"159",0.122850122850123,0.212314225053079,0,0,0
"160",0,0.212314225053079,0,0,0
"161",0,0.106157112526539,0,0,0
"162",0,0.106157112526539,0,0,0
"163",0,0.212314225053079,0,0,0
"164",0,0.106157112526539,0,0,0
"165",0,0,0,0,0
"166",2.94840294840295,2.01698513800425,3.99361022364217,0,5.36193029490617
"167",0,0.106157112526539,0,0,0
"168",0,0.106157112526539,0,0,0
"169",0,0.212314225053079,0,0,0
"170",0,0.106157112526539,0,0,0
"171",0,0.106157112526539,0,0,0
"172",0,0.106157112526539,0,0,0
"173",0.122850122850123,0.106157112526539,0,0,0
"174",2.57985257985258,2.22929936305732,0.798722044728434,0,1.34048257372654
"175",0.122850122850123,0.106157112526539,0,0,0
"176",0,0.106157112526539,0,0,0
"177",10.3194103194103,6.68789808917197,7.18849840255591,4.54545454545455,1.34048257372654
"178",0.368550368550369,0.636942675159236,0,0,0
"179",0,0.106157112526539,0,0,0
"180",0.122850122850123,0.106157112526539,0,0,0
"181",0,0.106157112526539,0,0,0
"182",2.82555282555283,1.69851380042463,0,2.27272727272727,0
"183",0,0.106157112526539,0,0,0
"184",0,0.106157112526539,0,0,0
"185",0,0,0,0,0
"186",0,0.212314225053079,0,0,0
"187",0.122850122850123,0.106157112526539,0,0,0
"188",0,0.106157112526539,0,0,0
"189",0.245700245700246,0.318471337579618,0,0,0
"190",1.35135135135135,0.636942675159236,0.798722044728434,0,0
"191",0,0.106157112526539,0,0,0
"192",0,0.106157112526539,0,0,0
"193",0.614250614250614,0.424628450106157,0,0,0
"194",0.368550368550369,0.212314225053079,0,2.27272727272727,0
"195",0,0.212314225053079,0,0,0
"196",0,0.106157112526539,0,0,0
"197",0,0.106157112526539,0,0,0
"198",0,0.106157112526539,0,0,0
"199",0,0.212314225053079,0,0,0
"200",0,0.106157112526539,0,0,0
"201",0,0.212314225053079,0,0,0
"202",0.122850122850123,0.212314225053079,0,0,0
"203",0,0.212314225053079,0,0,0
"204",0,0.106157112526539,0,0,0
"205",0,0.106157112526539,0.798722044728434,0,0
"206",0.122850122850123,0.106157112526539,0,0,0
"207",0,0.106157112526539,0,0,0
"208",0.491400491400491,0.318471337579618,0,0,0
"209",0,0.106157112526539,0,0,0
"210",0,0,0,0,0
"211",0,0.106157112526539,0.798722044728434,0,0
"212",0,0.106157112526539,0,0,0
"213",0,0.106157112526539,0,0,0
"214",14.4963144963145,8.28025477707006,7.18849840255591,11.3636363636364,2.68096514745308
"215",0.122850122850123,0.106157112526539,0,0,0
"216",0,0.106157112526539,0,0,0
"217",0,0.106157112526539,0,0,0
"218",0,0.106157112526539,0,0,0
"219",0.122850122850123,0.106157112526539,0,0,0
"220",0.614250614250614,0.106157112526539,0,0,0
"221",0,0.106157112526539,0,0,0
"222",0.245700245700246,0.318471337579618,0,0,0
"223",0,0.212314225053079,0,0,0
"224",0,0.106157112526539,0,0,0
"225",0,0.106157112526539,0,0,0
"226",0,0.106157112526539,0,0,0
"227",1.35135135135135,1.06157112526539,0,2.27272727272727,0
"228",0.982800982800983,0.530785562632696,0.798722044728434,0,0
"229",0.368550368550369,0.318471337579618,0,0,0
"230",1.47420147420147,0.636942675159236,0.798722044728434,0,0
"231",1.35135135135135,0.849256900212314,0.798722044728434,0,0
"232",3.07125307125307,2.12314225053079,0,0,0
"233",0,0.106157112526539,0,0,0
"234",0,0.106157112526539,0,0,0
"235",0,0,0,0,0
"236",0,0.106157112526539,0,0,0
"237",0,0.106157112526539,0,0,0
"238",0.368550368550369,0.106157112526539,0,0,0
"239",0.122850122850123,0.106157112526539,0,0,0
