"","Model","Time_to_steady_state"
"1","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",123
"2","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",342
"3","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",193
"4","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",200
"5","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",98
"6","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",273
"7","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",170
"8","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",236
"9","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",141
"10","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",114
"11","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",298
"12","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",115
"13","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",358
"14","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",1
"15","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",229
"16","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",167
"17","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",363
"18","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",243
"19","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",128
"20","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",123
"21","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",184
"22","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",358
"23","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",362
"24","null_model_mixed/IsolateYES_Limit10_FateD_TcheckNO_PopSize2000",329
