"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",9,1,7,1,1,1,1
"2",31,1,40,1,1,1,1
"3",1,1,1,1,1,1,1
"4",73,1,65,1,1,1,1
"5",1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1
"7",1,1,3,1,1,1,1
"8",1,1,1,1,1,1,1
"9",8,1,13,1,1,1,1
"10",1,1,1,1,1,1,1
"11",3,1,1,1,1,1,1
"12",1,1,1,1,1,1,1
"13",863,1,877,1,1,1,1
"14",1,1,1,1,1,1,1
"15",17,1,7,1,1,1,1
"16",1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1
"21",1,1,1,1,1,1,1
"22",1,1,1,1,1,1,1
"23",65,1,52,1,1,1,1
"24",1,1,1,1,1,1,1
"25",1,1,3,1,1,1,1
"26",19,1,9,1,1,1,1
"27",1,1,1,1,1,1,1
"28",1,1,1,1,1,1,1
"29",207,1,212,1,1,1,1
"30",50,1,45,1,1,1,1
"31",1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1
"34",1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1
"36",1,1,1,1,1,1,1
"37",1,1,1,1,1,1,1
"38",219,1,235,1,1,1,1
"39",5,1,1,1,1,1,1
"40",4,1,1,1,1,1,1
"41",1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1
"43",1,1,1,1,1,1,1
"44",22,1,15,1,1,1,1
"45",1,1,1,1,1,1,1
"46",1,1,1,1,1,1,1
"47",3,1,1,1,1,1,1
"48",1,1,1,1,1,1,1
"49",3,1,8,1,1,1,1
"50",1,1,1,1,1,1,1
"51",61,1,35,1,1,1,1
"52",1,1,1,1,1,1,1
"53",1,1,1,1,1,1,1
"54",1,1,1,1,1,1,1
"55",1,1,1,1,1,1,1
"56",1,1,1,1,1,1,1
"57",1,1,1,1,1,1,1
"58",1,1,1,1,1,1,1
"59",1,1,1,1,1,1,1
"60",1,1,1,1,1,1,1
"61",1,1,1,1,1,1,1
"62",1,1,3,1,1,1,1
"63",1,1,1,1,1,1,1
"64",1,1,1,1,1,1,1
"65",5,1,11,1,1,1,1
"66",4,1,1,1,1,1,1
"67",1,1,1,1,1,1,1
"68",7,1,6,1,1,1,1
"69",1,1,1,1,1,1,1
"70",1,1,1,1,1,1,1
"71",1,1,1,1,1,1,1
"72",1,1,1,1,1,1,1
"73",6,1,3,1,1,1,1
"74",1,1,1,1,1,1,1
"75",403,1,399,1,1,1,1
"76",1,1,1,1,1,1,1
"77",117,1,111,1,1,1,1
"78",3,1,1,1,1,1,1
"79",20,1,13,1,1,1,1
"80",1,1,1,1,1,1,1
"81",1,1,1,1,1,1,1
"82",1,1,1,1,1,1,1
"83",88,1,80,1,1,1,1
"84",3,1,1,1,1,1,1
"85",3,1,1,1,1,1,1
"86",1,1,3,1,1,1,1
