"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",1,0,3,0,0,0,0
"2",5,0,5,0,0,0,0
"3",0,0,1,0,0,0,0
"4",10,0,10,0,0,0,0
"5",0,0,1,0,0,0,0
"6",0,0,1,0,0,0,0
"7",0,0,1,0,0,0,0
"8",0,0,1,0,0,0,0
"9",3,0,2,0,0,0,0
"10",0,0,1,0,0,0,0
"11",1,0,1,0,0,0,0
"12",0,0,1,0,0,0,0
"13",128,0,73,0,0,0,0
"14",0,0,1,0,0,0,0
"15",3,0,2,0,0,0,0
"16",0,0,1,0,0,0,0
"17",0,0,1,0,0,0,0
"18",0,0,1,0,0,0,0
"19",0,0,1,0,0,0,0
"20",0,0,1,0,0,0,0
"21",0,0,1,0,0,0,0
"22",0,0,1,0,0,0,0
"23",11,0,7,0,0,0,0
"24",0,0,1,0,0,0,0
"25",0,0,2,0,0,0,0
"26",2,0,4,0,0,0,0
"27",0,0,1,0,0,0,0
"28",0,0,0,0,0,0,0
"29",30,0,23,0,0,0,0
"30",8,0,4,0,0,0,0
"31",0,0,1,0,0,0,0
"32",0,0,1,0,0,0,0
"33",0,0,1,0,0,0,0
"34",0,0,1,0,0,0,0
"35",0,0,1,0,0,0,0
"36",0,0,1,0,0,0,0
"37",0,0,1,0,0,0,0
"38",33,0,26,0,0,0,0
"39",1,0,1,0,0,0,0
"40",2,0,1,0,0,0,0
"41",0,0,1,0,0,0,0
"42",0,0,1,0,0,0,0
"43",0,0,1,0,0,0,0
"44",1,0,4,0,0,0,0
"45",0,0,1,0,0,0,0
"46",0,0,1,0,0,0,0
"47",1,0,1,0,0,0,0
"48",0,0,1,0,0,0,0
"49",1,0,2,0,0,0,0
"50",0,0,1,0,0,0,0
"51",11,0,6,0,0,0,0
"52",0,0,1,0,0,0,0
"53",0,0,1,0,0,0,0
"54",0,0,1,0,0,0,0
"55",0,0,1,0,0,0,0
"56",0,0,1,0,0,0,0
"57",0,0,1,0,0,0,0
"58",0,0,1,0,0,0,0
"59",0,0,1,0,0,0,0
"60",0,0,1,0,0,0,0
"61",0,0,1,0,0,0,0
"62",0,0,2,0,0,0,0
"63",0,0,1,0,0,0,0
"64",0,0,1,0,0,0,0
"65",2,0,2,0,0,0,0
"66",1,0,1,0,0,0,0
"67",0,0,1,0,0,0,0
"68",2,0,2,0,0,0,0
"69",0,0,1,0,0,0,0
"70",0,0,1,0,0,0,0
"71",0,0,1,0,0,0,0
"72",0,0,1,0,0,0,0
"73",1,0,2,0,0,0,0
"74",0,0,1,0,0,0,0
"75",57,0,39,0,0,0,0
"76",0,0,1,0,0,0,0
"77",13,0,13,0,0,0,0
"78",1,0,1,0,0,0,0
"79",3,0,4,0,0,0,0
"80",0,0,1,0,0,0,0
"81",0,0,1,0,0,0,0
"82",0,0,1,0,0,0,0
"83",14,0,9,0,0,0,0
"84",1,0,1,0,0,0,0
"85",1,0,1,0,0,0,0
"86",0,0,1,0,0,0,0
"87",0,0,1,0,0,0,0
"88",1,0,1,0,0,0,0
"89",5,0,3,0,0,0,0
"90",2,0,1,0,0,0,0
"91",0,0,1,0,0,0,0
"92",0,0,1,0,0,0,0
"93",0,0,1,0,0,0,0
"94",11,0,6,0,0,0,0
"95",0,0,1,0,0,0,0
"96",0,0,1,0,0,0,0
"97",0,0,1,0,0,0,0
"98",0,0,1,0,0,0,0
"99",0,0,2,0,0,0,0
"100",0,0,1,0,0,0,0
"101",0,0,1,0,0,0,0
"102",0,0,2,0,0,0,0
"103",0,0,1,0,0,0,0
"104",0,0,1,0,0,0,0
"105",0,0,1,0,0,0,0
"106",32,0,28,0,0,0,0
"107",0,0,1,0,0,0,0
"108",1,0,2,0,0,0,0
"109",0,0,1,0,0,0,0
"110",0,0,0,0,0,0,0
"111",0,0,1,0,0,0,0
"112",3,0,1,0,0,0,0
"113",0,0,1,0,0,0,0
"114",0,0,1,0,0,0,0
"115",1,0,1,0,0,0,0
"116",0,0,1,0,0,0,0
"117",128,0,89,0,0,0,0
"118",0,0,1,0,0,0,0
"119",0,0,1,0,0,0,0
"120",0,0,1,0,0,0,0
"121",0,0,2,0,0,0,0
"122",0,0,0,0,0,0,0
"123",0,0,1,0,0,0,0
"124",0,0,1,0,0,0,0
"125",0,0,1,0,0,0,0
"126",7,0,6,0,0,0,0
"127",1,0,1,0,0,0,0
"128",0,0,1,0,0,0,0
"129",0,0,1,0,0,0,0
"130",0,0,1,0,0,0,0
"131",0,0,1,0,0,0,0
"132",0,0,1,0,0,0,0
"133",0,0,1,0,0,0,0
"134",16,0,7,0,0,0,0
"135",60,0,48,0,0,0,0
"136",0,0,1,0,0,0,0
"137",0,0,0,0,0,0,0
"138",1,0,2,0,0,0,0
"139",7,0,7,0,0,0,0
"140",0,0,1,0,0,0,0
"141",1,0,1,0,0,0,0
"142",0,0,1,0,0,0,0
"143",1,0,2,0,0,0,0
"144",0,0,1,0,0,0,0
"145",1,0,1,0,0,0,0
"146",0,0,1,0,0,0,0
"147",0,0,1,0,0,0,0
"148",3,0,2,0,0,0,0
"149",0,0,1,0,0,0,0
"150",2,0,1,0,0,0,0
"151",0,0,1,0,0,0,0
"152",0,0,1,0,0,0,0
"153",16,0,7,0,0,0,0
"154",0,0,3,0,0,0,0
