name,time_to_1st_exposed_in_GreenZone
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit250_FateD_TcheckYES_PopSize2000_rand-500.dat,81
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-200.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-250.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-300.dat,121
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-350.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-400.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-450.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-50.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit50_FateD_TcheckYES_PopSize2000_rand-500.dat,69
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-100.dat,NA
C:/A/SEPAIHRD_dynamics_shield_cont10_age3_age2_20_IsolateYES_Limit500_FateD_TcheckYES_PopSize2000_rand-150.dat,NA
