"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",1,0,2,0,0,0,0
"2",0,0,1,0,0,0,0
"3",0,0,1,0,0,0,0
"4",0,0,1,0,0,0,0
"5",0,0,1,0,0,0,0
"6",0,0,1,0,0,0,0
"7",10,0,10,0,0,0,0
"8",0,0,1,0,0,0,0
"9",0,0,1,0,0,0,0
"10",15,0,15,0,0,0,0
"11",0,0,1,0,0,0,0
"12",0,0,1,0,0,0,0
"13",2,0,1,0,0,0,0
"14",0,0,1,0,0,0,0
"15",1,0,1,0,0,0,0
"16",0,0,1,0,0,0,0
"17",2,0,1,0,0,0,0
"18",0,0,1,0,0,0,0
"19",0,0,1,0,0,0,0
"20",4,0,2,0,0,0,0
"21",1,0,1,0,0,0,0
"22",0,0,1,0,0,0,0
"23",14,0,12,1,0,0,0
"24",0,0,2,0,0,0,0
"25",0,0,1,0,0,0,0
"26",0,0,2,0,0,0,0
"27",2,0,3,0,0,0,0
"28",0,0,1,0,0,0,0
"29",0,0,1,0,0,0,0
"30",1,0,1,0,0,0,0
"31",1,0,3,0,0,0,0
"32",15,0,11,0,0,0,0
"33",0,0,1,0,0,0,0
"34",2,0,1,0,0,0,0
"35",2,0,1,0,0,0,0
"36",0,0,1,0,0,0,0
"37",0,0,1,0,0,0,0
"38",0,0,1,0,0,0,0
"39",0,0,1,0,0,0,0
"40",0,0,1,0,0,0,0
"41",0,0,1,0,0,0,0
"42",0,0,1,0,0,0,0
"43",0,0,1,0,0,0,0
"44",18,0,16,0,0,0,0
"45",0,0,1,0,0,0,0
"46",0,0,1,0,0,0,0
"47",17,0,15,0,0,0,1
"48",2,0,1,0,0,0,0
"49",0,0,1,0,0,0,0
"50",8,0,7,0,0,0,0
"51",0,0,1,0,0,0,0
"52",1,0,1,0,0,0,0
"53",3,0,2,0,0,0,0
"54",2,0,1,0,0,0,0
"55",0,0,1,0,0,0,0
"56",4,0,3,0,0,0,0
"57",1,0,1,0,0,0,0
"58",0,0,1,0,0,0,0
"59",0,0,1,0,0,0,0
"60",1,0,2,0,0,0,0
"61",13,0,9,0,0,0,0
"62",19,0,16,0,0,0,0
"63",1,0,1,0,0,0,0
"64",1,0,1,0,0,0,0
"65",7,0,6,0,0,0,0
"66",0,0,1,0,0,0,0
"67",0,0,1,0,0,0,0
"68",0,0,1,0,0,0,0
"69",0,0,1,0,0,0,0
"70",0,0,1,0,0,0,0
"71",7,0,8,0,0,0,0
"72",0,0,1,0,0,0,0
"73",0,0,1,0,0,0,0
"74",0,0,1,0,0,0,0
"75",1,0,2,0,0,0,0
"76",2,0,1,0,0,0,0
"77",2,0,2,0,0,0,0
"78",1,0,2,0,0,0,0
"79",0,0,1,0,0,0,0
"80",6,0,3,0,0,0,0
"81",0,0,1,0,0,0,0
"82",14,0,9,0,0,0,0
"83",0,0,1,0,0,0,0
"84",0,0,1,0,0,0,0
"85",4,0,1,0,0,0,0
"86",2,0,2,0,0,0,0
"87",19,0,18,0,0,0,0
"88",0,0,1,0,0,0,0
"89",1,0,2,0,0,0,0
"90",1,0,1,0,0,0,0
"91",0,0,1,0,0,0,0
"92",11,0,13,0,0,0,0
"93",2,0,1,0,0,0,0
"94",1,0,1,0,0,0,0
"95",0,0,1,0,0,0,0
"96",0,0,1,0,0,0,0
